epoch,eval_acc,eval_auc,eval_auc_attr0_group0,eval_auc_attr0_group1,eval_auc_attr0_group2,eval_auc_attr0_max_group_disparity,eval_auc_attr0_std_group_disparity,eval_auc_attr1_group0,eval_auc_attr1_group1,eval_auc_attr1_max_group_disparity,eval_auc_attr1_std_group_disparity,eval_auc_attr2_group0,eval_auc_attr2_group1,eval_auc_attr2_max_group_disparity,eval_auc_attr2_std_group_disparity,eval_auc_attr3_group0,eval_auc_attr3_group1,eval_auc_attr3_group2,eval_auc_attr3_max_group_disparity,eval_auc_attr3_std_group_disparity,eval_dpd_attr0,eval_dpd_attr1,eval_dpd_attr2,eval_dpd_attr3,eval_eod_attr0,eval_eod_attr1,eval_eod_attr2,eval_eod_attr3,eval_es_acc_attr0,eval_es_acc_attr1,eval_es_acc_attr2,eval_es_acc_attr3,eval_es_auc_attr0,eval_es_auc_attr1,eval_es_auc_attr2,eval_es_auc_attr3,eval_loss,trn_loss
35,0.5564,0.6221,0.5831,0.6808,0.6157,0.157,0.0653,0.6242,0.6193,0.0078,0.0039,0.6214,0.7036,0.1322,0.0661,0.6172,0.6952,0.675,0.1254,0.0531,0.0649,0.0468,0.0545,0.0582,0.1662,0.0575,0.0875,0.0571,0.4398,0.542,0.5296,0.4014,0.5635,0.6191,0.5748,0.5501,0.7067,0.7027
36,0.6181,0.6545,0.6563,0.7407,0.6391,0.1552,0.0678,0.6416,0.6756,0.052,0.026,0.6484,0.8145,0.2537,0.1269,0.653,0.8667,0.7175,0.3264,0.1367,0.1341,0.0173,0.18,0.1683,0.2035,0.0502,0.3515,0.5028,0.5062,0.6097,0.5459,0.4561,0.5931,0.6329,0.5613,0.5127,0.6518,0.6942
37,0.5755,0.627,0.6328,0.6699,0.617,0.0844,0.0354,0.6151,0.645,0.0477,0.0238,0.6241,0.7014,0.1232,0.0616,0.6281,0.6667,0.495,0.2738,0.1173,0.1062,0.0667,0.1095,0.0828,0.2425,0.0925,0.14,0.1376,0.442,0.5725,0.5456,0.4753,0.5923,0.6088,0.5821,0.5347,0.7068,0.7059
38,0.534,0.629,0.6216,0.6737,0.6199,0.0855,0.0397,0.6133,0.6526,0.0625,0.0313,0.626,0.7262,0.1593,0.0797,0.6246,0.6857,0.6075,0.1244,0.0534,0.0668,0.0093,0.0083,0.0545,0.1208,0.0182,0.0018,0.2,0.4296,0.5268,0.4862,0.3912,0.5927,0.6052,0.5717,0.581,0.7158,0.702
39,0.5128,0.6391,0.6725,0.6924,0.6297,0.0981,0.0409,0.6291,0.6535,0.0382,0.0191,0.6389,0.6878,0.0766,0.0383,0.6428,0.6095,0.63,0.0521,0.0214,0.0577,0.0214,0.0585,0.0709,0.1088,0.0326,0.0633,0.1333,0.4004,0.4963,0.4677,0.3649,0.583,0.6238,0.6092,0.6131,0.7283,0.7022
40,0.5074,0.6547,0.6613,0.7279,0.6548,0.1117,0.0505,0.645,0.6686,0.0361,0.0181,0.649,0.8416,0.2942,0.1471,0.6549,0.9238,0.5625,0.5519,0.2341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.6063,0.6396,0.549,0.4809,0.7283,0.6981
41,0.4926,0.6359,0.7134,0.7157,0.6222,0.1471,0.0685,0.6103,0.6764,0.1039,0.0519,0.6336,0.733,0.1564,0.0782,0.6389,0.6571,0.5325,0.196,0.0865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928,0.481,0.4408,0.3242,0.543,0.5965,0.5784,0.5639,0.9177,0.6998
42,0.5968,0.6547,0.6749,0.6957,0.653,0.0652,0.0266,0.6405,0.6749,0.0524,0.0262,0.652,0.7602,0.1652,0.0826,0.6544,0.7619,0.575,0.2855,0.117,0.0734,0.0248,0.1912,0.1327,0.1802,0.0508,0.3231,0.2714,0.5009,0.5925,0.5398,0.4343,0.6159,0.6329,0.5908,0.5514,0.6897,0.6986
43,0.5585,0.603,0.5893,0.6135,0.587,0.0441,0.0199,0.6028,0.6081,0.0087,0.0043,0.6007,0.6595,0.0975,0.0487,0.6023,0.5762,0.5025,0.1655,0.0701,0.0528,0.0176,0.1564,0.1073,0.1302,0.0282,0.1758,0.1436,0.4471,0.5444,0.5328,0.432,0.5797,0.5999,0.5695,0.5346,0.7113,0.6938
44,0.5457,0.57,0.5323,0.6234,0.592,0.16,0.0664,0.5664,0.5725,0.0108,0.0054,0.5747,0.5023,0.1271,0.0636,0.5788,0.6095,0.595,0.0538,0.022,0.2433,0.0543,0.1991,0.2518,0.2984,0.0767,0.2233,0.2838,0.4513,0.5391,0.4922,0.3886,0.512,0.5665,0.5315,0.5309,0.6882,0.699
45,0.5074,0.6328,0.6836,0.6735,0.6221,0.0972,0.0425,0.601,0.6791,0.1233,0.0617,0.6277,0.7919,0.2595,0.1297,0.6351,0.8381,0.4025,0.6883,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.5742,0.587,0.5436,0.4401,0.6948,0.6931
46,0.5074,0.6677,0.6303,0.6747,0.6792,0.0732,0.033,0.6463,0.6968,0.0757,0.0379,0.6684,0.7127,0.0663,0.0331,0.6737,0.6381,0.4925,0.2714,0.1174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.6324,0.6356,0.6386,0.5514,0.7652,0.6851
47,0.5426,0.6184,0.6365,0.6228,0.6171,0.0313,0.0131,0.6082,0.6365,0.0458,0.0229,0.6243,0.5792,0.073,0.0365,0.6257,0.6095,0.4175,0.3366,0.1529,0.0516,0.0135,0.0492,0.0091,0.1131,0.0201,0.0983,0.0609,0.422,0.5297,0.4871,0.3892,0.604,0.6014,0.5917,0.5081,0.6947,0.6938
48,0.5074,0.6739,0.6576,0.7419,0.6646,0.1251,0.0567,0.6656,0.6875,0.0324,0.0162,0.6713,0.8303,0.2359,0.118,0.6739,0.7429,0.57,0.2565,0.1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.6162,0.6595,0.5815,0.5746,0.6737,0.6913
49,0.617,0.6617,0.6911,0.6569,0.665,0.0517,0.022,0.6513,0.6768,0.0386,0.0193,0.6571,0.7443,0.1319,0.0659,0.6663,0.8095,0.455,0.5358,0.2201,0.1541,0.0626,0.0364,0.1287,0.1406,0.0976,0.2363,0.4143,0.5735,0.5903,0.533,0.4847,0.6377,0.6452,0.6086,0.4868,0.6604,0.6944
50,0.6287,0.6592,0.6588,0.6595,0.6605,0.0026,0.0011,0.6513,0.6738,0.0341,0.0171,0.6543,0.7805,0.1916,0.0958,0.6598,0.7429,0.5275,0.3267,0.1345,0.0695,0.046,0.1348,0.1945,0.089,0.0721,0.3235,0.3143,0.6105,0.6209,0.5609,0.5565,0.6579,0.6447,0.5853,0.5421,0.6778,0.6882
51,0.5074,0.6596,0.6464,0.6723,0.6596,0.0392,0.016,0.6475,0.6788,0.0475,0.0238,0.6552,0.7489,0.1419,0.071,0.6611,0.6571,0.525,0.2063,0.0959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047,0.4956,0.4541,0.334,0.643,0.6396,0.6032,0.5793,0.7579,0.6841
52,0.6202,0.6649,0.6067,0.6889,0.6644,0.1236,0.0518,0.6565,0.6778,0.032,0.016,0.6638,0.7285,0.0973,0.0486,0.6745,0.619,0.3825,0.4391,0.1904,0.0916,0.0367,0.1299,0.1031,0.0793,0.0559,0.1951,0.2826,0.5684,0.6141,0.6153,0.5671,0.6141,0.651,0.6245,0.497,0.6516,0.6878
53,0.5128,0.6521,0.6563,0.6627,0.6481,0.0224,0.0092,0.6345,0.6788,0.0679,0.034,0.6483,0.7104,0.0952,0.0476,0.6503,0.6286,0.58,0.1077,0.045,0.081,0.0021,0.0057,0.03,0.1342,0.0164,0.011,0.1,0.4029,0.5092,0.4576,0.3422,0.6401,0.6245,0.614,0.5942,0.7851,0.6908
54,0.617,0.6663,0.6514,0.6971,0.6574,0.0686,0.0304,0.6597,0.6823,0.0338,0.0169,0.6624,0.724,0.0924,0.0462,0.664,0.6762,0.585,0.1369,0.0607,0.1825,0.0385,0.1071,0.1291,0.2034,0.0445,0.2102,0.1714,0.5449,0.6132,0.582,0.5679,0.6318,0.6516,0.6277,0.6094,0.6576,0.6788
55,0.5298,0.6582,0.6551,0.7269,0.6376,0.1356,0.0587,0.6366,0.6926,0.0851,0.0426,0.659,0.6493,0.0148,0.0074,0.6651,0.5143,0.47,0.2964,0.1269,0.096,0.006,0.014,0.0368,0.1719,0.0232,0.0263,0.1109,0.414,0.5288,0.4804,0.3675,0.6025,0.6232,0.6518,0.4915,0.7358,0.6783
56,0.5223,0.6733,0.629,0.6851,0.6825,0.0832,0.0384,0.6674,0.684,0.0247,0.0124,0.6722,0.7285,0.0836,0.0418,0.6788,0.6476,0.555,0.1838,0.0781,0.0767,0.0103,0.0086,0.0231,0.1858,0.0148,0.0316,0.2,0.3852,0.5124,0.4809,0.3648,0.6321,0.6623,0.6374,0.5858,0.8647,0.6862
57,0.5383,0.6607,0.7171,0.6691,0.6642,0.0801,0.0361,0.6356,0.6953,0.0904,0.0452,0.6648,0.6154,0.0748,0.0374,0.662,0.5333,0.67,0.2068,0.0948,0.0194,0.0048,0.0303,0.0541,0.0316,0.0163,0.0485,0.0907,0.432,0.5221,0.4783,0.3493,0.6185,0.6235,0.6296,0.5806,0.702,0.6831
58,0.5957,0.6757,0.6613,0.6914,0.6814,0.0445,0.0185,0.6621,0.6971,0.0519,0.0259,0.6754,0.7036,0.0418,0.0209,0.682,0.6,0.5125,0.2508,0.1024,0.1015,0.0249,0.0027,0.0927,0.1802,0.0887,0.15,0.4,0.4889,0.5567,0.5763,0.458,0.6523,0.6528,0.6571,0.5426,0.6911,0.6803
59,0.5426,0.6829,0.6427,0.7283,0.6763,0.1254,0.0516,0.6564,0.723,0.0975,0.0488,0.6822,0.7398,0.0844,0.0422,0.6906,0.5238,0.49,0.2938,0.1284,0.0238,0.0229,0.0271,0.0467,0.051,0.0434,0.1005,0.2,0.4348,0.5412,0.4767,0.3965,0.6252,0.6402,0.6457,0.5022,0.7519,0.6775
60,0.5191,0.5179,0.5409,0.4888,0.5595,0.1365,0.0578,0.5377,0.4881,0.0957,0.0479,0.5221,0.4842,0.0732,0.0366,0.5285,0.5333,0.6825,0.2974,0.138,0.0463,0.0171,0.0146,0.0403,0.0659,0.0226,0.0261,0.0564,0.4079,0.5107,0.4697,0.3363,0.4735,0.4934,0.4989,0.4349,1.139,0.6766
61,0.6011,0.6398,0.7568,0.6188,0.6329,0.2157,0.0969,0.6169,0.6732,0.0881,0.044,0.6471,0.5158,0.2052,0.1026,0.645,0.4857,0.5875,0.249,0.103,0.1398,0.0361,0.0295,0.115,0.187,0.0732,0.0756,0.0583,0.495,0.5909,0.5846,0.4648,0.5588,0.6057,0.5656,0.5281,0.6784,0.6816
62,0.5819,0.705,0.7717,0.6749,0.6987,0.1374,0.0584,0.6919,0.7259,0.0483,0.0241,0.7094,0.6742,0.0499,0.0249,0.7115,0.5905,0.5475,0.2326,0.0985,0.0722,0.0281,0.0988,0.0818,0.1746,0.0331,0.2554,0.0892,0.4529,0.5711,0.4973,0.4436,0.6391,0.6818,0.6811,0.5514,0.6849,0.6812
63,0.6011,0.6939,0.763,0.7131,0.6829,0.1155,0.0476,0.6696,0.7274,0.0833,0.0417,0.701,0.6471,0.0777,0.0388,0.7011,0.5714,0.47,0.3331,0.1363,0.0788,0.0385,0.169,0.1182,0.1486,0.0842,0.2317,0.2157,0.5085,0.5858,0.5889,0.4918,0.6312,0.6559,0.6584,0.5126,0.6793,0.6733
64,0.6287,0.6995,0.6439,0.7037,0.7013,0.0854,0.0395,0.6825,0.7256,0.0615,0.0308,0.7001,0.776,0.1086,0.0543,0.7049,0.6095,0.55,0.2215,0.0912,0.1258,0.0916,0.2215,0.24,0.1287,0.1162,0.3605,0.2632,0.5732,0.6236,0.5864,0.5436,0.659,0.6707,0.6495,0.5619,0.65,0.6796
